Name | Total rule apps | Nodes | Branches | Overall time | Automode time | Closed | Time per step | Memory
examples/./../../EVotingMachine/proofobligation/eVotingMachine.core.VotingMachine.InnerBallot(eVotingMachine.core.VotingMachine.InnerBallot__InnerBallot(int,int,long)).normal contract.0.key.auto.key | 479 | 240 | 4 | 13819 | 3797 | 1 | 15.88703 | 22611
examples/./../../EVotingMachine/proofobligation/lib.network.NetworkClient(lib.network.NetworkClient__send([B,String,int)).contract.0.key.auto.key | 2674 | 1443 | 53 | 15169 | 5360 | 1 | 3.7170596 | 33063
examples/./../../EVotingMachine/proofobligation/lib.network.NetworkClient(lib.network.NetworkClient__sendRequest([B,String,int)).contract.0.key.auto.key | 3265 | 1765 | 64 | 16424 | 6278 | 1 | 3.5589569 | 33283
examples/./../../EVotingMachine/proofobligation/lib.time.Timestamp(lib.time.Timestamp__get()).contract.0.key.auto.key | 255 | 103 | 6 | 10889 | 1341 | 1 | 13.1470585 | 20777
examples/./../../EVotingMachine/proofobligation/utils.MessageTools(utils.MessageTools__byteArrayToInt([B)).contract.0.key.auto.key | 2911 | 1607 | 47 | 17543 | 7507 | 1 | 4.674346 | 35530
examples/./../../EVotingMachine/proofobligation/utils.MessageTools(utils.MessageTools__concatenate([B,[B)).contract.0.key.auto.key | 7521 | 3401 | 63 | 22330 | 11918 | 1 | 3.505294 | 42651
examples/./../../EVotingMachine/proofobligation/utils.MessageTools(utils.MessageTools__copyOf([B)).normal contract.0.key.auto.key | 2406 | 1066 | 21 | 16003 | 5948 | 1 | 5.5849767 | 35901
examples/./../../EVotingMachine/proofobligation/utils.MessageTools(utils.MessageTools__first([B)).normal contract.0.key.auto.key | 204 | 58 | 3 | 10892 | 1235 | 1 | 21.666666 | 20749
examples/./../../EVotingMachine/proofobligation/utils.MessageTools(utils.MessageTools__intToByteArray(int)).normal contract.0.key.auto.key | 1446 | 911 | 21 | 16292 | 6666 | 1 | 7.325275 | 28109
examples/./../../EVotingMachine/proofobligation/utils.MessageTools(utils.MessageTools__longToByteArray(long)).normal contract.0.key.auto.key | 1439 | 670 | 16 | 17945 | 6822 | 1 | 10.1973095 | 30292
examples/./../../EVotingMachine/proofobligation/utils.MessageTools(utils.MessageTools__project([B,int)).normal contract.0.key.auto.key | 16064 | 9719 | 164 | 43116 | 32917 | 1 | 3.3872197 | 57114
examples/./../../EVotingMachine/proofobligation/utils.MessageTools(utils.MessageTools__second([B)).normal contract.0.key.auto.key | 204 | 58 | 3 | 11214 | 1130 | 1 | 19.824562 | 20465
--- SUM --- | 197114 | 109344 | 2030 | 1027197 | 589801 | 39 | 5.39399509803922 | 36111.7948717949
